rsassa-pss-256 - X25519;rsassa-pss-256 - P-256;rsassa-pss-256 - mlkem512;ed25519 - X25519;ed25519 - P-256;ed25519 - mlkem512;falcon512 - X25519;falcon512 - P-256;falcon512 - mlkem512;sphincssha2128fsimple - X25519;sphincssha2128fsimple - P-256;sphincssha2128fsimple - mlkem512;sphincssha2128ssimple - X25519;sphincssha2128ssimple - P-256;sphincssha2128ssimple - mlkem512
19;27;27;19;28;27;22;27;26;20;26;25;16;12;17
27;18;27;25;20;27;27;22;28;26;20;26;16;17;11
27;27;19;28;25;21;27;26;20;27;26;21;9;16;16
26;27;26;27;28;27;26;27;28;24;26;25;16;16;16
27;26;27;26;27;28;27;27;27;27;25;27;16;17;15
27;27;26;27;26;25;27;26;25;26;26;25;11;16;17
25;27;27;27;27;28;26;28;26;24;26;26;17;15;16
26;25;27;26;27;27;27;26;27;24;25;26;16;16;16
27;25;26;28;26;25;28;27;27;27;27;25;12;16;16
27;27;27;26;27;26;25;27;26;26;26;26;16;17;16
26;28;27;27;27;27;28;26;27;25;24;26;16;17;15
27;25;25;27;26;27;27;27;26;26;24;25;16;16;16
26;27;25;26;28;26;25;27;27;26;27;27;17;15;16
26;27;27;27;26;27;26;26;27;25;26;26;16;16;16
28;26;28;27;27;27;27;27;26;26;25;24;16;17;16
26;27;25;26;27;27;27;27;27;26;26;24;16;16;16
26;27;27;28;26;27;26;25;28;25;26;27;17;16;16
27;26;27;27;27;26;27;26;25;27;25;26;15;16;16
26;27;26;25;27;27;27;27;28;25;26;25;17;16;17
27;26;27;26;26;27;26;27;27;26;26;26;17;16;16
27;27;27;27;27;26;27;26;25;26;26;26;15;16;16
26;27;26;27;28;27;27;27;26;24;26;25;17;16;16
27;25;27;26;25;28;27;27;27;24;25;26;16;17;15
27;28;26;27;28;25;27;26;27;27;26;26;15;16;17
25;27;27;27;27;28;26;28;26;26;26;25;17;15;16
26;25;27;26;25;27;27;26;27;25;25;27;16;15;16
27;27;26;28;26;25;27;27;27;26;26;25;15;17;16
27;28;27;26;27;26;26;27;26;26;27;26;16;16;16
26;24;27;27;27;27;27;26;28;25;24;26;17;16;15
27;26;25;27;26;27;27;27;26;26;25;24;16;16;15
26;27;28;26;27;26;26;27;27;26;26;24;16;16;17
26;27;27;27;26;27;28;26;27;25;26;27;17;16;16
28;26;25;27;27;27;27;27;26;27;25;26;15;17;16
26;27;27;26;27;26;25;27;27;25;26;25;17;16;16
26;26;28;28;26;28;25;26;27;26;26;26;16;16;16
27;27;24;27;28;26;28;27;26;26;25;26;16;16;16
26;27;26;25;27;27;26;28;27;25;26;25;17;16;16
27;26;27;26;25;27;27;24;27;26;26;26;16;16;16
27;26;27;27;25;26;27;26;26;26;26;26;15;16;16
26;27;26;27;28;27;26;27;28;25;26;25;17;16;17
27;26;27;26;27;27;27;27;27;26;25;26;16;16;15
27;27;26;27;26;26;27;26;25;26;26;26;15;17;17
25;27;27;27;27;28;26;28;25;25;26;25;17;15;16
26;25;27;26;27;27;27;26;28;26;25;27;16;16;15
27;26;26;28;26;25;28;27;26;27;26;25;15;16;17
27;27;27;26;27;25;25;27;27;24;26;26;16;16;16
26;27;27;27;27;28;28;26;27;24;25;26;17;16;14
27;25;25;27;26;27;27;27;26;27;26;25;16;17;16
26;28;28;26;28;26;25;27;27;25;27;26;16;16;16
27;26;27;27;26;27;26;26;27;26;23;26;16;16;16
