mldsa87 - P-521;mldsa87 - mlkem1024;falcon1024 - P-521;falcon1024 - mlkem1024;sphincssha2256fsimple - P-521;sphincssha2256fsimple - mlkem1024;sphincssha2256ssimple - P-521;sphincssha2256ssimple - mlkem1024
25;27;20;27;17;15;13;13
17;27;27;21;18;17;10;14
27;20;26;27;14;18;13;9
26;26;24;27;18;18;13;14
23;27;25;26;18;18;12;14
26;27;26;27;17;18;13;13
26;26;26;28;17;18;14;14
25;28;25;25;18;17;13;14
26;26;26;28;17;19;13;13
27;27;26;27;18;17;14;14
24;27;25;24;18;18;13;14
27;26;26;26;17;18;14;12
26;27;25;28;18;17;13;14
24;27;26;26;18;18;13;13
25;26;27;27;16;19;14;14
26;28;24;27;17;16;13;13
26;27;27;26;18;17;13;14
25;25;26;27;17;19;14;14
26;25;24;27;18;18;13;14
26;28;25;26;17;19;13;7
25;27;26;27;18;18;14;14
27;26;26;27;17;16;13;14
25;27;25;26;18;18;12;10
26;27;26;27;17;18;13;14
26;26;26;28;18;17;13;14
25;27;25;25;18;18;14;12
26;27;26;28;17;18;14;14
27;27;26;27;18;18;14;14
24;27;25;25;18;18;12;12
24;26;27;25;16;18;13;14
27;27;25;28;18;17;14;13
26;27;26;26;18;18;13;14
25;26;26;27;16;19;14;13
26;27;25;27;17;16;13;14
26;28;26;26;18;17;13;14
25;25;26;27;18;18;14;13
27;28;25;27;17;19;14;14
25;27;26;26;18;19;12;13
26;25;27;27;17;18;13;13
26;26;24;27;18;16;14;14
25;27;27;26;18;17;13;13
26;27;26;27;17;19;13;13
26;26;24;28;17;17;14;13
25;27;25;25;18;18;13;14
26;27;26;28;17;18;13;13
27;26;26;27;18;18;13;14
24;28;25;25;18;18;13;13
24;26;26;25;16;18;13;13
27;27;26;28;17;17;14;14
26;27;25;26;18;18;13;14
