mldsa87,P-521,,mldsa87,mlkem1024,,falcon1024,P-521,,falcon1024,mlkem1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec
25,"0,24","104,17",27,"0,04","675,00",20,"0,21","95,24",27,"0,04","675,00",17,"0,25","68,00",15,"0,09","166,67",13,"0,16","81,25",13,"0,05","260,00"
17,"0,18","94,44",27,"0,04","675,00",27,"0,26","103,85",21,"0,03","700,00",18,"0,26","69,23",17,"0,10","170,00",10,"0,12","83,33",14,"0,06","233,33"
27,"0,28","96,43",20,"0,03","666,67",26,"0,26","100,00",27,"0,04","675,00",14,"0,20","70,00",18,"0,11","163,64",13,"0,16","81,25",9,"0,03","300,00"
26,"0,25","104,00",26,"0,04","650,00",24,"0,21","114,29",27,"0,05","540,00",18,"0,25","72,00",18,"0,10","180,00",13,"0,16","81,25",14,"0,05","280,00"
23,"0,22","104,55",27,"0,04","675,00",25,"0,26","96,15",26,"0,04","650,00",18,"0,24","75,00",18,"0,11","163,64",12,"0,14","85,71",14,"0,06","233,33"
26,"0,26","100,00",27,"0,04","675,00",26,"0,28","92,86",27,"0,04","675,00",17,"0,23","73,91",18,"0,11","163,64",13,"0,15","86,67",13,"0,05","260,00"
26,"0,25","104,00",26,"0,04","650,00",26,"0,25","104,00",28,"0,04","700,00",17,"0,25","68,00",18,"0,10","180,00",14,"0,17","82,35",14,"0,05","280,00"
25,"0,25","100,00",28,"0,04","700,00",25,"0,27","92,59",25,"0,04","625,00",18,"0,24","75,00",17,"0,09","188,89",13,"0,17","76,47",14,"0,06","233,33"
26,"0,25","104,00",26,"0,03","866,67",26,"0,25","104,00",28,"0,04","700,00",17,"0,23","73,91",19,"0,12","158,33",13,"0,17","76,47",13,"0,05","260,00"
27,"0,25","108,00",27,"0,04","675,00",26,"0,27","96,30",27,"0,04","675,00",18,"0,28","64,29",17,"0,11","154,55",14,"0,17","82,35",14,"0,06","233,33"
24,"0,23","104,35",27,"0,05","540,00",25,"0,26","96,15",24,"0,03","800,00",18,"0,24","75,00",18,"0,10","180,00",13,"0,15","86,67",14,"0,06","233,33"
27,"0,28","96,43",26,"0,04","650,00",26,"0,24","108,33",26,"0,04","650,00",17,"0,23","73,91",18,"0,10","180,00",14,"0,17","82,35",12,"0,05","240,00"
26,"0,25","104,00",27,"0,04","675,00",25,"0,23","108,70",28,"0,04","700,00",18,"0,26","69,23",17,"0,10","170,00",13,"0,17","76,47",14,"0,06","233,33"
24,"0,25","96,00",27,"0,04","675,00",26,"0,24","108,33",26,"0,04","650,00",18,"0,24","75,00",18,"0,10","180,00",13,"0,15","86,67",13,"0,05","260,00"
25,"0,24","104,17",26,"0,05","520,00",27,"0,25","108,00",27,"0,05","540,00",16,"0,23","69,57",19,"0,12","158,33",14,"0,18","77,78",14,"0,07","200,00"
26,"0,26","100,00",28,"0,04","700,00",24,"0,25","96,00",27,"0,04","675,00",17,"0,24","70,83",16,"0,09","177,78",13,"0,17","76,47",13,"0,06","216,67"
26,"0,25","104,00",27,"0,05","540,00",27,"0,27","100,00",26,"0,04","650,00",18,"0,26","69,23",17,"0,10","170,00",13,"0,16","81,25",14,"0,06","233,33"
25,"0,25","100,00",25,"0,04","625,00",26,"0,26","100,00",27,"0,04","675,00",17,"0,24","70,83",19,"0,11","172,73",14,"0,17","82,35",14,"0,07","200,00"
26,"0,25","104,00",25,"0,04","625,00",24,"0,24","100,00",27,"0,04","675,00",18,"0,25","72,00",18,"0,10","180,00",13,"0,17","76,47",14,"0,05","280,00"
26,"0,27","96,30",28,"0,04","700,00",25,"0,24","104,17",26,"0,04","650,00",17,"0,23","73,91",19,"0,11","172,73",13,"0,16","81,25",7,"0,03","233,33"
25,"0,27","92,59",27,"0,05","540,00",26,"0,25","104,00",27,"0,04","675,00",18,"0,25","72,00",18,"0,11","163,64",14,"0,18","77,78",14,"0,05","280,00"
27,"0,27","100,00",26,"0,03","866,67",26,"0,27","96,30",27,"0,05","540,00",17,"0,24","70,83",16,"0,09","177,78",13,"0,17","76,47",14,"0,05","280,00"
25,"0,25","100,00",27,"0,05","540,00",25,"0,25","100,00",26,"0,03","866,67",18,"0,28","64,29",18,"0,11","163,64",12,"0,16","75,00",10,"0,04","250,00"
26,"0,26","100,00",27,"0,04","675,00",26,"0,26","100,00",27,"0,04","675,00",17,"0,25","68,00",18,"0,10","180,00",13,"0,16","81,25",14,"0,05","280,00"
26,"0,26","100,00",26,"0,04","650,00",26,"0,24","108,33",28,"0,05","560,00",18,"0,26","69,23",17,"0,10","170,00",13,"0,18","72,22",14,"0,06","233,33"
25,"0,24","104,17",27,"0,04","675,00",25,"0,24","104,17",25,"0,03","833,33",18,"0,27","66,67",18,"0,10","180,00",14,"0,17","82,35",12,"0,04","300,00"
26,"0,26","100,00",27,"0,05","540,00",26,"0,27","96,30",28,"0,04","700,00",17,"0,23","73,91",18,"0,10","180,00",14,"0,17","82,35",14,"0,06","233,33"
27,"0,31","87,10",27,"0,05","540,00",26,"0,27","96,30",27,"0,04","675,00",18,"0,25","72,00",18,"0,11","163,64",14,"0,19","73,68",14,"0,06","233,33"
24,"0,23","104,35",27,"0,04","675,00",25,"0,23","108,70",25,"0,04","625,00",18,"0,26","69,23",18,"0,10","180,00",12,"0,15","80,00",12,"0,06","200,00"
24,"0,24","100,00",26,"0,04","650,00",27,"0,28","96,43",25,"0,04","625,00",16,"0,24","66,67",18,"0,11","163,64",13,"0,17","76,47",14,"0,06","233,33"
27,"0,27","100,00",27,"0,04","675,00",25,"0,26","96,15",28,"0,04","700,00",18,"0,25","72,00",17,"0,10","170,00",14,"0,19","73,68",13,"0,05","260,00"
26,"0,24","108,33",27,"0,04","675,00",26,"0,26","100,00",26,"0,04","650,00",18,"0,26","69,23",18,"0,11","163,64",13,"0,15","86,67",14,"0,06","233,33"
25,"0,23","108,70",26,"0,04","650,00",26,"0,26","100,00",27,"0,05","540,00",16,"0,22","72,73",19,"0,10","190,00",14,"0,16","87,50",13,"0,06","216,67"
26,"0,25","104,00",27,"0,04","675,00",25,"0,26","96,15",27,"0,04","675,00",17,"0,24","70,83",16,"0,09","177,78",13,"0,16","81,25",14,"0,06","233,33"
26,"0,24","108,33",28,"0,05","560,00",26,"0,26","100,00",26,"0,04","650,00",18,"0,26","69,23",17,"0,10","170,00",13,"0,16","81,25",14,"0,06","233,33"
25,"0,24","104,17",25,"0,05","500,00",26,"0,24","108,33",27,"0,04","675,00",18,"0,27","66,67",18,"0,10","180,00",14,"0,15","93,33",13,"0,05","260,00"
27,"0,28","96,43",28,"0,05","560,00",25,"0,23","108,70",27,"0,04","675,00",17,"0,21","80,95",19,"0,11","172,73",14,"0,17","82,35",14,"0,06","233,33"
25,"0,25","100,00",27,"0,04","675,00",26,"0,25","104,00",26,"0,03","866,67",18,"0,25","72,00",19,"0,12","158,33",12,"0,14","85,71",13,"0,05","260,00"
26,"0,24","108,33",25,"0,04","625,00",27,"0,25","108,00",27,"0,04","675,00",17,"0,26","65,38",18,"0,11","163,64",13,"0,15","86,67",13,"0,06","216,67"
26,"0,26","100,00",26,"0,04","650,00",24,"0,24","100,00",27,"0,05","540,00",18,"0,24","75,00",16,"0,09","177,78",14,"0,17","82,35",14,"0,06","233,33"
25,"0,26","96,15",27,"0,04","675,00",27,"0,27","100,00",26,"0,04","650,00",18,"0,27","66,67",17,"0,09","188,89",13,"0,18","72,22",13,"0,06","216,67"
26,"0,27","96,30",27,"0,04","675,00",26,"0,26","100,00",27,"0,04","675,00",17,"0,23","73,91",19,"0,12","158,33",13,"0,17","76,47",13,"0,06","216,67"
26,"0,26","100,00",26,"0,03","866,67",24,"0,25","96,00",28,"0,04","700,00",17,"0,23","73,91",17,"0,11","154,55",14,"0,16","87,50",13,"0,05","260,00"
25,"0,24","104,17",27,"0,05","540,00",25,"0,24","104,17",25,"0,04","625,00",18,"0,26","69,23",18,"0,10","180,00",13,"0,16","81,25",14,"0,06","233,33"
26,"0,24","108,33",27,"0,04","675,00",26,"0,27","96,30",28,"0,04","700,00",17,"0,25","68,00",18,"0,11","163,64",13,"0,17","76,47",13,"0,06","216,67"
27,"0,27","100,00",26,"0,04","650,00",26,"0,24","108,33",27,"0,04","675,00",18,"0,25","72,00",18,"0,10","180,00",13,"0,17","76,47",14,"0,07","200,00"
24,"0,24","100,00",28,"0,05","560,00",25,"0,24","104,17",25,"0,04","625,00",18,"0,26","69,23",18,"0,11","163,64",13,"0,18","72,22",13,"0,05","260,00"
24,"0,25","96,00",26,"0,04","650,00",26,"0,24","108,33",25,"0,04","625,00",16,"0,22","72,73",18,"0,11","163,64",13,"0,18","72,22",13,"0,07","185,71"
27,"0,30","90,00",27,"0,04","675,00",26,"0,28","92,86",28,"0,04","700,00",17,"0,24","70,83",17,"0,10","170,00",14,"0,18","77,78",14,"0,06","233,33"
26,"0,26","100,00",27,"0,04","675,00",25,"0,26","96,15",26,"0,05","520,00",18,"0,25","72,00",18,"0,11","163,64",13,"0,17","76,47",14,"0,05","280,00"
