ed25519,P-256,,ed25519,X25519,,ed25519,p256_mlkem512,,ed25519,x25519_mlkem512,,ed25519,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
329,"0,50","658,00",345,"0,43","802,33",317,"1,09","290,83",357,"0,56","637,50",239,"0,33","724,24"
306,"0,46","665,22",368,"0,41","897,56",325,"1,15","282,61",362,"0,49","738,78",361,"0,49","736,73"
356,"0,53","671,70",246,"0,33","745,45",239,"0,85","281,18",277,"0,41","675,61",361,"0,49","736,73"
357,"0,55","649,09",367,"0,41","895,12",310,"0,96","322,92",358,"0,50","716,00",244,"0,33","739,39"
333,"0,52","640,38",365,"0,48","760,42",328,"1,09","300,92",357,"0,56","637,50",361,"0,48","752,08"
329,"0,47","700,00",252,"0,31","812,90",323,"1,13","285,84",335,"0,52","644,23",361,"0,49","736,73"
359,"0,53","677,36",357,"0,42","850,00",309,"1,05","294,29",327,"0,52","628,85",244,"0,34","717,65"
356,"0,56","635,71",363,"0,46","789,13",325,"1,15","282,61",357,"0,57","626,32",361,"0,49","736,73"
241,"0,37","651,35",344,"0,43","800,00",319,"1,10","290,00",361,"0,50","722,00",361,"0,48","752,08"
358,"0,53","675,47",361,"0,49","736,73",315,"1,06","297,17",239,"0,38","628,95",312,"0,42","742,86"
358,"0,53","675,47",362,"0,47","770,21",326,"1,12","291,07",356,"0,57","624,56",359,"0,49","732,65"
241,"0,35","688,57",340,"0,42","809,52",315,"1,06","297,17",357,"0,55","649,09",361,"0,50","722,00"
358,"0,54","662,96",333,"0,43","774,42",320,"1,08","296,30",240,"0,38","631,58",339,"0,46","736,96"
357,"0,54","661,11",368,"0,40","920,00",325,"1,09","298,17",356,"0,56","635,71",331,"0,47","704,26"
241,"0,36","669,44",362,"0,44","822,73",310,"1,07","289,72",356,"0,57","624,56",361,"0,50","722,00"
357,"0,53","673,58",247,"0,28","882,14",325,"1,11","292,79",240,"0,38","631,58",361,"0,48","752,08"
359,"0,53","677,36",364,"0,46","791,30",325,"1,11","292,79",356,"0,57","624,56",243,"0,32","759,38"
280,"0,43","651,16",362,"0,48","754,17",306,"1,04","294,23",356,"0,55","647,27",361,"0,48","752,08"
350,"0,54","648,15",244,"0,33","739,39",299,"1,03","290,29",280,"0,45","622,22",362,"0,48","754,17"
358,"0,55","650,91",363,"0,46","789,13",325,"1,09","298,17",349,"0,53","658,49",244,"0,35","697,14"
339,"0,52","651,92",363,"0,44","825,00",327,"1,12","291,96",357,"0,56","637,50",361,"0,48","752,08"
357,"0,53","673,58",244,"0,31","787,10",219,"0,73","300,00",339,"0,53","639,62",361,"0,50","722,00"
358,"0,53","675,47",362,"0,47","770,21",325,"1,12","290,18",355,"0,54","657,41",244,"0,33","739,39"
333,"0,54","616,67",363,"0,48","756,25",327,"1,10","297,27",357,"0,55","649,09",361,"0,51","707,84"
327,"0,51","641,18",285,"0,35","814,29",220,"0,74","297,30",334,"0,53","630,19",362,"0,50","724,00"
358,"0,54","662,96",355,"0,46","771,74",325,"1,13","287,61",328,"0,51","643,14",287,"0,36","797,22"
362,"0,46","786,96",363,"0,45","806,67",325,"1,08","300,93",359,"0,51","703,92",352,"0,50","704,00"
245,"0,32","765,62",345,"0,45","766,67",219,"0,77","284,42",356,"0,56","635,71",360,"0,52","692,31"
360,"0,53","679,25",361,"0,48","752,08",325,"1,13","287,61",240,"0,37","648,65",345,"0,46","750,00"
358,"0,53","675,47",362,"0,48","754,17",325,"1,12","290,18",357,"0,57","626,32",359,"0,49","732,65"
241,"0,36","669,44",340,"0,43","790,70",256,"0,87","294,25",356,"0,57","624,56",361,"0,50","722,00"
