secp521r1,P-521,,secp521r1,p521_mlkem1024,,secp521r1,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec
178,"2,60","68,46",124,"1,85","67,03",228,"1,46","156,16"
193,"2,85","67,72",193,"3,09","62,46",277,"1,78","155,62"
211,"3,01","70,10",196,"3,03","64,69",287,"1,89","151,85"
209,"3,05","68,52",168,"2,49","67,47",281,"1,82","154,40"
200,"2,79","71,68",198,"2,98","66,44",277,"1,87","148,13"
213,"2,93","72,70",198,"2,96","66,89",286,"1,90","150,53"
211,"2,83","74,56",176,"2,86","61,54",276,"1,81","152,49"
201,"2,89","69,55",177,"2,66","66,54",283,"1,85","152,97"
211,"2,95","71,53",198,"2,95","67,12",287,"1,91","150,26"
205,"2,92","70,21",196,"2,89","67,82",271,"1,79","151,40"
203,"2,96","68,58",132,"2,00","66,00",288,"1,92","150,00"
210,"2,97","70,71",197,"2,96","66,55",288,"1,84","156,52"
201,"2,87","70,03",197,"2,93","67,24",269,"1,72","156,40"
210,"2,93","71,67",128,"2,07","61,84",266,"1,74","152,87"
208,"3,00","69,33",189,"3,07","61,56",287,"1,91","150,26"
199,"2,84","70,07",190,"3,05","62,30",294,"1,73","169,94"
211,"2,98","70,81",126,"2,04","61,76",193,"1,27","151,97"
207,"3,01","68,77",190,"3,01","63,12",287,"1,90","151,05"
197,"2,76","71,38",191,"2,98","64,09",288,"1,88","153,19"
194,"2,77","70,04",145,"2,39","60,67",194,"1,26","153,97"
209,"2,99","69,90",191,"2,87","66,55",289,"1,85","156,22"
212,"3,00","70,67",194,"2,89","67,13",289,"1,83","157,92"
142,"1,99","71,36",178,"2,94","60,54",194,"1,27","152,76"
211,"3,03","69,64",190,"3,06","62,09",287,"1,92","149,48"
211,"3,05","69,18",192,"2,99","64,21",287,"1,85","155,14"
142,"2,02","70,30",180,"2,73","65,93",223,"1,48","150,68"
212,"2,96","71,62",176,"2,80","62,86",282,"1,85","152,43"
208,"3,07","67,75",190,"3,07","61,89",287,"1,88","152,66"
142,"2,01","70,65",189,"3,00","63,00",274,"1,74","157,47"
210,"3,01","69,77",128,"2,03","63,05",286,"1,89","151,32"
208,"3,01","69,10",189,"3,03","62,38",287,"1,92","149,48"
162,"2,34","69,23",190,"3,08","61,69",267,"1,75","152,57"
213,"2,78","76,62",130,"2,04","63,73",265,"1,77","149,72"
208,"3,04","68,42",191,"3,02","63,25",289,"1,88","153,72"
198,"2,89","68,51",190,"3,08","61,69",287,"1,91","150,26"
207,"3,11","66,56",128,"2,07","61,84",192,"1,29","148,84"
208,"3,02","68,87",191,"3,02","63,25",287,"1,87","153,48"
193,"2,81","68,68",196,"2,95","66,44",286,"1,93","148,19"
193,"2,80","68,93",151,"2,32","65,09",189,"1,32","143,18"
209,"3,07","68,08",189,"2,85","66,32",287,"1,87","153,48"
209,"2,99","69,90",190,"3,00","63,33",287,"1,91","150,26"
141,"2,06","68,45",177,"2,96","59,80",196,"1,15","170,43"
208,"3,06","67,97",189,"3,09","61,17",289,"1,88","153,72"
209,"3,01","69,44",189,"3,02","62,58",289,"1,82","158,79"
143,"2,03","70,44",176,"2,89","60,90",223,"1,47","151,70"
209,"3,02","69,21",177,"2,77","63,90",284,"1,83","155,19"
210,"3,00","70,00",190,"3,07","61,89",288,"1,89","152,38"
143,"2,00","71,50",189,"3,07","61,56",270,"1,79","150,84"
208,"2,99","69,57",181,"2,83","63,96",287,"1,91","150,26"
210,"2,99","70,23",194,"2,91","66,67",294,"1,73","169,94"
