secp384r1 - P-384;secp384r1 - x448;secp384r1 - p384_mlkem768;secp384r1 - x448_mlkem768;secp384r1 - mlkem768
214;306;248;314;216
254;228;257;315;331
276;313;171;239;333
276;321;254;284;225
187;305;255;308;325
279;318;171;311;323
274;319;256;207;282
184;297;255;312;320
278;294;173;308;326
276;321;258;206;307
185;321;257;307;297
277;214;224;308;326
277;319;249;211;323
217;318;254;309;220
272;214;237;308;325
275;321;232;242;324
260;317;254;299;219
268;215;257;308;326
273;315;173;295;331
256;317;256;304;220
252;249;256;307;324
274;309;174;290;326
274;317;257;281;258
185;303;258;307;316
276;316;174;307;324
274;318;257;207;312
185;297;256;307;321
275;294;202;306;325
272;318;250;208;307
185;317;255;308;296
280;218;244;305;326
281;323;252;206;326
220;318;256;307;219
269;219;240;305;330
273;320;234;244;326
264;321;258;306;221
272;214;257;308;326
271;318;171;296;326
259;323;256;305;218
252;249;257;307;325
271;316;171;292;323
278;319;252;281;257
185;302;255;306;317
274;315;172;309;326
279;318;254;207;311
185;298;254;308;322
275;296;201;308;326
275;318;249;207;306
186;317;257;311;297
274;213;243;306;325
