ed25519 - P-256;ed25519 - X25519;ed25519 - p256_mlkem512;ed25519 - x25519_mlkem512;ed25519 - mlkem512
329;345;317;357;239
306;368;325;362;361
356;246;239;277;361
357;367;310;358;244
333;365;328;357;361
329;252;323;335;361
359;357;309;327;244
356;363;325;357;361
241;344;319;361;361
358;361;315;239;312
358;362;326;356;359
241;340;315;357;361
358;333;320;240;339
357;368;325;356;331
241;362;310;356;361
357;247;325;240;361
359;364;325;356;243
280;362;306;356;361
350;244;299;280;362
358;363;325;349;244
339;363;327;357;361
357;244;219;339;361
358;362;325;355;244
333;363;327;357;361
327;285;220;334;362
358;355;325;328;287
362;363;325;359;352
245;345;219;356;360
360;361;325;240;345
358;362;325;357;359
241;340;256;356;361
358;335;319;240;340
358;363;327;356;331
241;363;314;356;361
362;244;324;240;362
357;363;326;356;243
279;361;305;356;362
351;244;299;280;362
361;363;326;349;244
340;363;327;357;362
357;244;220;340;361
357;364;325;355;245
338;362;327;356;361
332;284;220;335;362
357;356;324;328;284
359;363;327;357;353
240;345;219;356;362
357;361;325;241;345
361;363;327;357;358
241;339;256;356;363
