secp521r1 - P-521;secp521r1 - p521_mlkem1024;secp521r1 - mlkem1024
178;124;228
193;193;277
211;196;287
209;168;281
200;198;277
213;198;286
211;176;276
201;177;283
211;198;287
205;196;271
203;132;288
210;197;288
201;197;269
210;128;266
208;189;287
199;190;294
211;126;193
207;190;287
197;191;288
194;145;194
209;191;289
212;194;289
142;178;194
211;190;287
211;192;287
142;180;223
212;176;282
208;190;287
142;189;274
210;128;286
208;189;287
162;190;267
213;130;265
208;191;289
198;190;287
207;128;192
208;191;287
193;196;286
193;151;189
209;189;287
209;190;287
141;177;196
208;189;289
209;189;289
143;176;223
209;177;284
210;190;288
143;189;270
208;181;287
210;194;294
