secp521r1 - P-521;secp521r1 - p521_mlkem1024;secp521r1 - mlkem1024
26;18;27
26;26;27
19;25;19
25;24;26
26;24;26
26;25;26
26;26;26
26;17;27
24;26;26
25;26;26
26;17;27
25;25;25
25;26;25
26;17;27
25;26;27
26;25;25
25;21;27
25;25;26
26;25;26
26;25;27
24;25;26
26;26;26
26;24;27
24;26;25
24;25;27
26;24;26
26;24;26
25;25;27
26;26;26
25;24;25
25;26;25
26;25;27
25;25;27
26;25;25
26;25;27
24;25;26
26;26;26
26;24;27
24;26;26
24;25;26
26;24;27
26;26;25
25;26;27
26;24;27
25;26;25
25;25;27
26;24;27
25;26;25
26;26;27
26;23;27
