ed25519 - P-256;ed25519 - X25519;ed25519 - p256_mlkem512;ed25519 - x25519_mlkem512;ed25519 - mlkem512
27;26;20;26;21
21;27;27;27;27
27;23;27;21;27
27;26;25;27;26
26;27;26;28;27
27;27;27;25;27
27;26;27;25;26
26;27;25;28;27
28;27;28;27;28
27;27;26;26;25
25;27;26;27;25
25;26;27;27;28
28;27;27;26;27
27;27;26;27;26
26;26;27;27;27
27;28;26;27;27
27;27;27;27;26
26;25;27;26;28
28;26;25;27;26
26;27;25;27;27
27;27;27;26;27
27;26;27;27;26
26;27;19;28;27
27;27;27;25;27
27;26;27;28;26
26;28;18;27;28
27;26;27;25;27
28;27;27;26;25
25;27;18;27;25
25;26;28;27;28
28;27;27;26;27
27;28;21;27;26
26;25;26;27;27
27;25;27;26;27
27;28;26;28;26
26;27;27;26;28
27;26;27;27;27
27;27;26;27;26
26;27;27;26;27
28;26;27;27;27
26;28;25;27;26
27;26;25;26;27
27;27;27;28;27
26;27;27;27;27
27;27;26;25;27
28;26;27;26;26
25;28;27;27;27
28;26;26;27;27
27;27;27;26;26
25;27;26;27;28
