secp521r1,P-521,,secp521r1,p521_mlkem1024,,secp521r1,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec
26,"0,36","72,22",18,"0,28","64,29",27,"0,17","158,82"
26,"0,35","74,29",26,"0,42","61,90",27,"0,17","158,82"
19,"0,26","73,08",25,"0,42","59,52",19,"0,12","158,33"
25,"0,34","73,53",24,"0,38","63,16",26,"0,16","162,50"
26,"0,34","76,47",24,"0,38","63,16",26,"0,17","152,94"
26,"0,36","72,22",25,"0,41","60,98",26,"0,17","152,94"
26,"0,34","76,47",26,"0,39","66,67",26,"0,16","162,50"
26,"0,35","74,29",17,"0,28","60,71",27,"0,18","150,00"
24,"0,33","72,73",26,"0,40","65,00",26,"0,17","152,94"
25,"0,36","69,44",26,"0,41","63,41",26,"0,16","162,50"
26,"0,37","70,27",17,"0,27","62,96",27,"0,18","150,00"
25,"0,36","69,44",25,"0,40","62,50",25,"0,16","156,25"
25,"0,36","69,44",26,"0,42","61,90",25,"0,16","156,25"
26,"0,35","74,29",17,"0,26","65,38",27,"0,18","150,00"
25,"0,34","73,53",26,"0,39","66,67",27,"0,17","158,82"
26,"0,36","72,22",25,"0,40","62,50",25,"0,15","166,67"
25,"0,35","71,43",21,"0,32","65,62",27,"0,18","150,00"
25,"0,38","65,79",25,"0,38","65,79",26,"0,16","162,50"
26,"0,35","74,29",25,"0,39","64,10",26,"0,17","152,94"
26,"0,35","74,29",25,"0,38","65,79",27,"0,18","150,00"
24,"0,33","72,73",25,"0,38","65,79",26,"0,16","162,50"
26,"0,37","70,27",26,"0,43","60,47",26,"0,17","152,94"
26,"0,36","72,22",24,"0,38","63,16",27,"0,17","158,82"
24,"0,36","66,67",26,"0,40","65,00",25,"0,16","156,25"
24,"0,33","72,73",25,"0,40","62,50",27,"0,17","158,82"
26,"0,37","70,27",24,"0,35","68,57",26,"0,17","152,94"
26,"0,37","70,27",24,"0,39","61,54",26,"0,18","144,44"
25,"0,34","73,53",25,"0,39","64,10",27,"0,18","150,00"
26,"0,36","72,22",26,"0,42","61,90",26,"0,18","144,44"
25,"0,34","73,53",24,"0,38","63,16",25,"0,16","156,25"
25,"0,36","69,44",26,"0,42","61,90",25,"0,17","147,06"
26,"0,34","76,47",25,"0,38","65,79",27,"0,18","150,00"
25,"0,35","71,43",25,"0,40","62,50",27,"0,17","158,82"
26,"0,37","70,27",25,"0,38","65,79",25,"0,15","166,67"
26,"0,39","66,67",25,"0,39","64,10",27,"0,16","168,75"
24,"0,36","66,67",25,"0,39","64,10",26,"0,15","173,33"
26,"0,39","66,67",26,"0,42","61,90",26,"0,15","173,33"
26,"0,36","72,22",24,"0,38","63,16",27,"0,17","158,82"
24,"0,33","72,73",26,"0,40","65,00",26,"0,16","162,50"
24,"0,34","70,59",25,"0,39","64,10",26,"0,16","162,50"
26,"0,38","68,42",24,"0,37","64,86",27,"0,18","150,00"
26,"0,37","70,27",26,"0,40","65,00",25,"0,18","138,89"
25,"0,35","71,43",26,"0,39","66,67",27,"0,17","158,82"
26,"0,35","74,29",24,"0,38","63,16",27,"0,19","142,11"
25,"0,34","73,53",26,"0,43","60,47",25,"0,17","147,06"
25,"0,34","73,53",25,"0,38","65,79",27,"0,18","150,00"
26,"0,36","72,22",24,"0,38","63,16",27,"0,16","168,75"
25,"0,35","71,43",26,"0,44","59,09",25,"0,17","147,06"
26,"0,35","74,29",26,"0,41","63,41",27,"0,17","158,82"
26,"0,35","74,29",23,"0,38","60,53",27,"0,17","158,82"
