secp384r1,P-384,,secp384r1,x448,,secp384r1,p384_mlkem768,,secp384r1,x448_mlkem768,,secp384r1,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
25,"0,17","147,06",27,"0,12","225,00",25,"0,21","119,05",17,"0,07","242,86",26,"0,08","325,00"
20,"0,14","142,86",27,"0,11","245,45",21,"0,18","116,67",27,"0,13","207,69",24,"0,09","266,67"
25,"0,17","147,06",20,"0,08","250,00",26,"0,23","113,04",27,"0,12","225,00",26,"0,08","325,00"
27,"0,18","150,00",26,"0,10","260,00",26,"0,22","118,18",18,"0,09","200,00",27,"0,09","300,00"
26,"0,18","144,44",27,"0,11","245,45",25,"0,20","125,00",27,"0,12","225,00",27,"0,10","270,00"
26,"0,17","152,94",27,"0,12","225,00",27,"0,23","117,39",27,"0,13","207,69",26,"0,09","288,89"
27,"0,17","158,82",25,"0,09","277,78",26,"0,22","118,18",19,"0,09","211,11",27,"0,09","300,00"
25,"0,16","156,25",27,"0,11","245,45",25,"0,23","108,70",27,"0,12","225,00",26,"0,09","288,89"
27,"0,18","150,00",27,"0,11","245,45",27,"0,24","112,50",26,"0,11","236,36",27,"0,09","300,00"
26,"0,17","152,94",26,"0,11","236,36",26,"0,22","118,18",23,"0,10","230,00",27,"0,08","337,50"
26,"0,19","136,84",27,"0,11","245,45",24,"0,21","114,29",27,"0,13","207,69",26,"0,09","288,89"
26,"0,18","144,44",26,"0,11","236,36",25,"0,22","113,64",27,"0,13","207,69",26,"0,09","288,89"
27,"0,18","150,00",26,"0,11","236,36",27,"0,24","112,50",25,"0,12","208,33",28,"0,10","280,00"
25,"0,16","156,25",27,"0,10","270,00",26,"0,21","123,81",25,"0,12","208,33",25,"0,08","312,50"
27,"0,18","150,00",26,"0,10","260,00",25,"0,21","119,05",27,"0,12","225,00",27,"0,10","270,00"
27,"0,18","150,00",27,"0,10","270,00",27,"0,23","117,39",27,"0,12","225,00",27,"0,09","300,00"
24,"0,16","150,00",27,"0,12","225,00",25,"0,23","108,70",26,"0,12","216,67",26,"0,10","260,00"
25,"0,16","156,25",25,"0,10","250,00",26,"0,24","108,33",27,"0,12","225,00",27,"0,09","300,00"
27,"0,17","158,82",25,"0,10","250,00",26,"0,21","123,81",26,"0,11","236,36",27,"0,09","300,00"
27,"0,17","158,82",27,"0,10","270,00",26,"0,23","113,04",26,"0,11","236,36",25,"0,09","277,78"
25,"0,17","147,06",27,"0,11","245,45",26,"0,22","118,18",27,"0,11","245,45",26,"0,11","236,36"
27,"0,18","150,00",18,"0,07","257,14",26,"0,21","123,81",27,"0,12","225,00",27,"0,10","270,00"
26,"0,17","152,94",27,"0,10","270,00",25,"0,21","119,05",26,"0,12","216,67",26,"0,09","288,89"
26,"0,18","144,44",27,"0,10","270,00",27,"0,24","112,50",27,"0,12","225,00",26,"0,09","288,89"
26,"0,16","162,50",19,"0,07","271,43",26,"0,22","118,18",26,"0,11","236,36",27,"0,10","270,00"
