secp384r1 - P-384;secp384r1 - x448;secp384r1 - p384_mlkem768;secp384r1 - x448_mlkem768;secp384r1 - mlkem768
25;27;25;17;26
20;27;21;27;24
25;20;26;27;26
27;26;26;18;27
26;27;25;27;27
26;27;27;27;26
27;25;26;19;27
25;27;25;27;26
27;27;27;26;27
26;26;26;23;27
26;27;24;27;26
26;26;25;27;26
27;26;27;25;28
25;27;26;25;25
27;26;25;27;27
27;27;27;27;27
24;27;25;26;26
25;25;26;27;27
27;25;26;26;27
27;27;26;26;25
25;27;26;27;26
27;18;26;27;27
26;27;25;26;26
26;27;27;27;26
26;19;26;26;27
26;27;25;26;27
26;27;27;27;26
27;18;26;26;27
26;27;24;27;26
26;27;25;27;27
27;21;27;25;27
25;27;26;27;26
27;27;25;27;27
27;26;27;25;27
24;26;26;25;25
25;27;25;27;25
27;26;27;27;27
26;27;25;26;28
26;27;26;27;25
26;25;27;26;27
27;25;25;26;27
25;27;26;27;26
27;27;27;26;27
26;26;24;27;26
26;27;25;27;27
27;26;26;25;27
25;26;26;27;26
27;27;18;27;27
26;27;27;25;27
26;26;26;25;25
