ed25519,P-256,,ed25519,X25519,,ed25519,p256_mlkem512,,ed25519,x25519_mlkem512,,ed25519,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec
27,"0,04","675,00",26,"0,03","866,67",20,"0,07","285,71",26,"0,03","866,67",21,"0,02","1050,00"
21,"0,03","700,00",27,"0,04","675,00",27,"0,09","300,00",27,"0,05","540,00",27,"0,03","900,00"
27,"0,04","675,00",23,"0,03","766,67",27,"0,10","270,00",21,"0,03","700,00",27,"0,03","900,00"
27,"0,05","540,00",26,"0,03","866,67",25,"0,08","312,50",27,"0,05","540,00",26,"0,04","650,00"
26,"0,04","650,00",27,"0,04","675,00",26,"0,09","288,89",28,"0,04","700,00",27,"0,04","675,00"
27,"0,04","675,00",27,"0,03","900,00",27,"0,09","300,00",25,"0,04","625,00",27,"0,04","675,00"
27,"0,04","675,00",26,"0,03","866,67",27,"0,09","300,00",25,"0,03","833,33",26,"0,05","520,00"
26,"0,04","650,00",27,"0,03","900,00",25,"0,09","277,78",28,"0,04","700,00",27,"0,04","675,00"
28,"0,04","700,00",27,"0,04","675,00",28,"0,10","280,00",27,"0,04","675,00",28,"0,04","700,00"
27,"0,04","675,00",27,"0,03","900,00",26,"0,08","325,00",26,"0,04","650,00",25,"0,03","833,33"
25,"0,03","833,33",27,"0,03","900,00",26,"0,09","288,89",27,"0,04","675,00",25,"0,04","625,00"
25,"0,03","833,33",26,"0,04","650,00",27,"0,09","300,00",27,"0,04","675,00",28,"0,04","700,00"
28,"0,03","933,33",27,"0,03","900,00",27,"0,09","300,00",26,"0,04","650,00",27,"0,04","675,00"
27,"0,04","675,00",27,"0,04","675,00",26,"0,09","288,89",27,"0,05","540,00",26,"0,04","650,00"
26,"0,03","866,67",26,"0,03","866,67",27,"0,10","270,00",27,"0,05","540,00",27,"0,04","675,00"
27,"0,04","675,00",28,"0,03","933,33",26,"0,09","288,89",27,"0,04","675,00",27,"0,03","900,00"
27,"0,04","675,00",27,"0,03","900,00",27,"0,10","270,00",27,"0,04","675,00",26,"0,04","650,00"
26,"0,04","650,00",25,"0,04","625,00",27,"0,09","300,00",26,"0,04","650,00",28,"0,04","700,00"
28,"0,04","700,00",26,"0,03","866,67",25,"0,10","250,00",27,"0,04","675,00",26,"0,04","650,00"
26,"0,04","650,00",27,"0,03","900,00",25,"0,08","312,50",27,"0,04","675,00",27,"0,03","900,00"
27,"0,04","675,00",27,"0,04","675,00",27,"0,08","337,50",26,"0,04","650,00",27,"0,04","675,00"
27,"0,04","675,00",26,"0,03","866,67",27,"0,09","300,00",27,"0,04","675,00",26,"0,04","650,00"
26,"0,04","650,00",27,"0,03","900,00",19,"0,07","271,43",28,"0,04","700,00",27,"0,04","675,00"
27,"0,03","900,00",27,"0,03","900,00",27,"0,10","270,00",25,"0,04","625,00",27,"0,03","900,00"
27,"0,04","675,00",26,"0,03","866,67",27,"0,09","300,00",28,"0,04","700,00",26,"0,04","650,00"
26,"0,04","650,00",28,"0,04","700,00",18,"0,07","257,14",27,"0,04","675,00",28,"0,04","700,00"
27,"0,04","675,00",26,"0,04","650,00",27,"0,10","270,00",25,"0,04","625,00",27,"0,04","675,00"
28,"0,04","700,00",27,"0,03","900,00",27,"0,09","300,00",26,"0,03","866,67",25,"0,03","833,33"
25,"0,05","500,00",27,"0,03","900,00",18,"0,07","257,14",27,"0,04","675,00",25,"0,04","625,00"
25,"0,03","833,33",26,"0,04","650,00",28,"0,10","280,00",27,"0,04","675,00",28,"0,04","700,00"
28,"0,04","700,00",27,"0,04","675,00",27,"0,09","300,00",26,"0,04","650,00",27,"0,04","675,00"
27,"0,04","675,00",28,"0,04","700,00",21,"0,07","300,00",27,"0,04","675,00",26,"0,04","650,00"
26,"0,04","650,00",25,"0,03","833,33",26,"0,10","260,00",27,"0,03","900,00",27,"0,04","675,00"
27,"0,04","675,00",25,"0,04","625,00",27,"0,10","270,00",26,"0,03","866,67",27,"0,04","675,00"
27,"0,04","675,00",28,"0,04","700,00",26,"0,09","288,89",28,"0,04","700,00",26,"0,03","866,67"
26,"0,03","866,67",27,"0,02","1350,00",27,"0,10","270,00",26,"0,04","650,00",28,"0,03","933,33"
27,"0,03","900,00",26,"0,04","650,00",27,"0,10","270,00",27,"0,04","675,00",27,"0,04","675,00"
27,"0,04","675,00",27,"0,04","675,00",26,"0,10","260,00",27,"0,04","675,00",26,"0,04","650,00"
26,"0,05","520,00",27,"0,04","675,00",27,"0,09","300,00",26,"0,04","650,00",27,"0,04","675,00"
28,"0,04","700,00",26,"0,04","650,00",27,"0,10","270,00",27,"0,04","675,00",27,"0,04","675,00"
26,"0,04","650,00",28,"0,03","933,33",25,"0,09","277,78",27,"0,04","675,00",26,"0,04","650,00"
27,"0,04","675,00",26,"0,03","866,67",25,"0,09","277,78",26,"0,05","520,00",27,"0,04","675,00"
